id;region;municipality;settlement;type;latitude_dd;longitude_dd
58;Иркутская область;Братский район;Боровской;п;5649;10216
59;Томская область;Томский район;Чёрная Речка;д;5640;8491
60;Красноярский край;Тюхтетский район;Новомитрополька;с;5653;8965
61;Красноярский край;Шушенский район;Нижняя Коя;д;5345;9192
62;Омская область;Колосовский район;Ламаново;с;5629;7382
63;Алтайский край;Усть-Калманский;Ельцовка;с;5195;8319
64;Красноярский край;Саянский район;Гладково;с;5521;9508
65;Иркутская область;Тулунский район;Умыган;с;5475;10023
66;Республика Алтай;Онгудайский район;Малая Иня;с;5044;8668
67;Иркутская область;Аларский район;Александровск;с;5333;10265
68;Красноярский край;Абанский район;Долгий Мост;с;5674;9680
69;Красноярский край;Канский район;Ашкаул;д;5610;9582
70;Омская область;Таврический район;Черноглазовка;д;5434;7403
71;Новосибирская область;Мошковский район;Барлак;с;5520;8322
72;Томская область;Чаинский район;Коломинские Гривы;с;5779;8314
73;Алтайский край;Павловский;Урожайный;п;5327;8316
74;Новосибирская область;Искитимский район;Быстровка;с;5453;8258
75;Красноярский край;Мотыгинский район;Кирсантьево;п;5774;9488
76;Кемеровская область;Тяжинский район;Старый Урюп;д;5583;8933
77;Иркутская область;Баяндаевский район;Байша;с;5337;10562
78;Алтайский край;Хабарский;Новоплотава;п;5351;7975
79;Омская область;Таврический район;Луговое;с;5462;7390
80;Красноярский край;Ирбейский район;Нагорная;д;5567;9543
81;Республика Хакасия;Таштыпский район;Верхние Сиры;д;5277;8971
82;Новосибирская область;Каргатский район;Первотроицк;с;5509;8037
83;Иркутская область;Нижнеудинский район;Уват;д;5486;9895
84;Томская область;Первомайский район;Малиновка;д;5701;8681
85;Иркутская область;Ольхонский район;Онгурен;с;5363;10759
86;Иркутская область;Нижнеилимский район;Игирма;п;5698;10362
87;Красноярский край;Минусинский район;Малая Ничка;с;5362;9203
88;Алтайский край;Заринский;Сосновка;с;5388;8537
89;Новосибирская область;Маслянинский район;Дресвянка;д;5419;8454
90;Иркутская область;Боханский район;Новая Ида;с;5317;10369
91;Красноярский край;Абанский район;Новоуспенка;с;5676;9632
92;Кемеровская область;Яйский район;Новостройка;п;5617;8610
93;Кемеровская область;Новокузнецкий;Николаевка;п;5348;8716
94;Алтайский край;Усть-Пристанский;Коловый Мыс;с;5225;8365
95;Алтайский край;Каменский;Обское;с;5365;8168
